Subscriber MSISDN,Call Type,Other Party,Start Time,End Time

1234567897,OUTCOMING,1234567891,2025-03-19T03:53:27,2025-03-19T04:10:36

1234567897,INCOMING,1234567899,2025-03-19T07:07:24,2025-03-19T07:27:51

1234567897,OUTCOMING,1234567893,2025-03-19T17:21:27,2025-03-19T17:27:39

1234567897,OUTCOMING,1234567893,2025-03-19T17:58:35,2025-03-19T18:10:05

1234567897,OUTCOMING,1234567899,2025-03-19T19:41:41,2025-03-19T20:02:07

1234567897,OUTCOMING,1234567899,2025-03-19T22:49:25,2025-03-19T23:13:30

1234567897,OUTCOMING,1234567894,2025-03-20T10:14:50,2025-03-20T10:29:15

1234567897,OUTCOMING,1234567895,2025-03-20T11:35:07,2025-03-20T11:59:32

1234567897,OUTCOMING,1234567898,2025-03-20T12:22:11,2025-03-20T12:52:33

1234567897,OUTCOMING,1234567892,2025-03-20T12:48:26,2025-03-20T12:49:31

1234567897,INCOMING,1234567894,2025-03-20T18:25:41,2025-03-20T18:50:58

1234567897,OUTCOMING,1234567898,2025-03-21T09:49:19,2025-03-21T10:09:44

1234567897,INCOMING,1234567898,2025-03-21T14:39:20,2025-03-21T14:49:23

1234567897,INCOMING,1234567898,2025-03-21T16:12:49,2025-03-21T16:14:19

1234567897,INCOMING,1234567896,2025-03-21T17:51:16,2025-03-21T18:16:38

1234567897,OUTCOMING,1234567898,2025-03-21T18:20:31,2025-03-21T18:44:51

1234567897,OUTCOMING,1234567898,2025-03-21T19:40:37,2025-03-21T19:50:53

1234567897,OUTCOMING,1234567893,2025-03-21T22:23:17,2025-03-21T22:34:27

1234567897,INCOMING,1234567895,2025-03-22T01:44:22,2025-03-22T02:02:49

1234567897,INCOMING,1234567893,2025-03-22T06:17:22,2025-03-22T06:25:30

1234567897,INCOMING,1234567893,2025-03-22T08:35:37,2025-03-22T09:00:44

1234567897,OUTCOMING,1234567890,2025-03-22T10:10:40,2025-03-22T10:38:49

1234567897,INCOMING,1234567892,2025-03-22T15:09:20,2025-03-22T15:37:50
